"basic_std","table","column","activity_item_class","label","order","type","length","displayformat","xmldatatype","xmlcodelist","core","origin","role","term","algorithm","qualifiers","comment","IGcomment","map_var_flag","fixed_mapping","include_in_raw","nn_internal","incl_cre_domain","xmlcodelistvalues"
"Y","General__Observations","__STRTPT","","Start Relative to Reference Time Point","220","C","40","","text","STENRF","Perm","","Timing","(STENRF)","","UPPERCASE","Identifies the start of the observation as being before or after the sponsor-defined reference time point defined by variable --STTPT.","Identifies the start of the observation as being before or after the sponsor- defined reference time point defined by variable --STTPT.","Y","","Y","","",""
"Y","General__Observations","__STTPT","","Start Reference Time Point","230","C","40","","text","","Perm","","Timing","","","UPPERCASE","Description or date/time in ISO 8601 or other character format of the sponsor-defined reference point referred to by --STRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".","Description or date/time in ISO 8601 or other character format of the sponsor- defined reference point referred to by --STRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".","","","","","",""
"Y","General__Observations","__ENRTPT","","End Relative to Reference Time Point","240","C","40","","text","STENRF","Perm","","Timing","(STENRF)","","UPPERCASE","Identifies the end of the observation as being before or after the sponsor-defined reference time point defined by variable --ENTPT.","Identifies the end of the observation as being before or after the sponsor- defined reference time point defined by variable --ENTPT.","Y","","Y","","",""
"Y","General__Observations","__ENTPT","","End Reference Time Point","250","C","40","","text","","Perm","","Timing","","","UPPERCASE","Description or date/time in ISO 8601 or other character format of the sponsor-defined reference point referred to by --ENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".","Description or date/time in ISO 8601 or other character format of the sponsor- defined reference point referred to by --ENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".","","","","","",""
"Y","General__Observations","__STINT","","Planned Start of Assessment Interval","260","C","64","","text","","Perm","","Timing","ISO 8601","","UPPERCASE DURATION","","The start of a planned evaluation or assessment interval in ISO 8601 character format relative to the Time Point Reference (--TPTREF).","","","","","",""
"Y","General__Observations","__ENINT","","Planned End of Assessment Interval","270","C","64","","text","","Perm","","Timing","ISO 8601","","UPPERCASE DURATION","","The end of a planned evaluation or assessment interval in ISO 8601 character format relative to the Time Point Reference (--TPTREF).","","","","","",""
"Y","General__Observations","__DETECT","","Time in Days to Detection","280","N","8","","integer","","Perm","","Timing","","","","","The number of days from the start of dosing to the earliest detection of a condition or pathogen.","","","","","",""
"Y","Trial__Design-TS","TSPARMCD","","Trial Summary Parameter Short Name","10","C","8","","text","TSPARMCD","Req","Assigned","Topic","(TSPARMCD)","","UPPERCASE","","TSPARMCD (the companion to TSPARM) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that TSPARMCD will need to serve as variable names. Examples: AGEMIN, AGEMAX","","","","","",""
"Y","Trial__Design-TS","TSPARM","","Trial Summary Parameter","20","C","40","","text","TSPARM","Req","Protocol","SynonymQualifier","(TSPARM)","","MIXEDCASE","","Term for the Trial Summary Parameter. The value in TSPARM cannot be longer than 40 characters. Examples Planned Minimum Age of Subjects, Planned Maximum Age of Subjects","","","","","",""
"Y","Trial__Design-TS","TSVAL","","Parameter Value","30","C","200","","text","","Exp","Protocol","ResultQualifier","*","","MIXEDCASE","","Value of TSPARM. Example: ""ASTHMA"" when TSPARM value is ""Trial Indication"". TSVAL can only be null when TSVALNF is populated. Text over 200 characters can be added to additional columns TSVAL1-TSVALn.","","","","","",""
"","Trial__Design-TS","TSVAL1","","Parameter Value 1","40","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"","Trial__Design-TS","TSVAL2","","Parameter Value 2","50","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"","Trial__Design-TS","TSVAL3","","Parameter Value 3","60","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"","Trial__Design-TS","TSVAL4","","Parameter Value 4","70","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"","Trial__Design-TS","TSVAL5","","Parameter Value 5","80","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"","Trial__Design-TS","TSVAL6","","Parameter Value 6","90","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"","Trial__Design-TS","TSVAL7","","Parameter Value 7","100","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"","Trial__Design-TS","TSVAL8","","Parameter Value 8","110","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"","Trial__Design-TS","TSVAL9","","Parameter Value 9","120","C","200","","text","","Perm","Protocol","ResultQualifier","","","MIXEDCASE","","","","","","","",""
"Y","Trial__Design-TS","TSVALNF","","Parameter Null Flavor","130","C","40","","text","","Perm","Protocol","ResultQualifier","NULLFLAVOR","","UPPERCASE","","Null flavor for the value of TSPARM, to be populated if and only if TSVAL is null.","","","","","",""
"Y","Trial__Design-TS","TSVALCD","","Parameter Value Code","140","C","80","","text","","Exp","Protocol","ResultQualifier","*","","UPPERCASE","","This is the code of the term in TSVAL. For example; 6CW7F3G59X is the code for Gabapentin, C49488 is the code for Y. The length of this variable can be longer than 8 to accommodate the length of the external terminology.","","","","","",""
"Y","Trial__Design-TS","TSVCDREF","","Name of the Reference Terminology","150","C","40","","text","","Exp","Protocol","ResultQualifier","","","MIXEDCASE","","The name of the Reference Terminology from which TSVALCD is taken. For example; CDISC, SNOMED, ISO 8601.","","","","","",""
"Y","Trial__Design-TS","TSVCDVER","","Version of the Reference Terminology","160","C","40","","text","","Exp","Protocol","ResultQualifier","","","UPPERCASE","","The version number of the Reference Terminology, if applicable.","","","","","",""
"Y","Trial__Design-TV","ARMCD","","Planned Arm Code","10","C","20","","text","","Exp","Assigned","RecordQualifier","*","","UPPERCASE","","1.ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than for other ""short"" variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven- period crossover were constructed using two-character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20. 2. If the timing of Visits for a trial does not depend on which ARM a subject is in, then ARMCD should be null.","","","","","",""
"Y","Trial__Design-TV","ARM","","Description of Planned Arm","20","C","40","","text","","Perm","Protocol","SynonymQualifier","*","","UPPERCASE","","1. Name given to an Arm or Treatment Group. 2. If the timing of Visits for a trial does not depend on which Arm a subject is in, then Arm should be left blank.","","","","","",""
"Y","Trial__Design-TV","TVSTRL","","Visit Start Rule","30","C","200","","text","","Req","Protocol","Rule","","","UPPERCASE","","Rule describing when the Visit starts, in relation to the sequence of Elements.","","","","","",""
"Y","Trial__Design-TV","TVENRL","","Visit End Rule","40","C","200","","text","","Perm","Protocol","Rule","","","UPPERCASE","","Rule describing when the Visit ends, in relation to the sequence of Elements.","","","","","",""
